ClubId,Name,Email,ClubTypeId,Description,Mission,Contact,HeadId,Image
1,Chess Club,chessclub@unist.ac.kr,9,A club for chess enthusiasts,To promote chess as a fun and intellectually stimulating activity,John Smith,101,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
2,Photography Club,photoclub@unist.ac.kr,2,A club for photography enthusiasts,To provide a space for students to explore and develop their photographic skills,Jane Doe,102,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
3,Debate Club,debateclub@unist.ac.kr,9,A club for students interested in debate,To improve critical thinking and public speaking skills,Mark Johnson,103,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
4,Art Club,artclub@unist.ac.kr,2,A club for students interested in art,To promote creativity and self-expression through various forms of art,Emily Chen,104,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
5,Sports Club,sportsclub@unist.ac.kr,1,A club for students interested in sports,To provide opportunities for students to participate in athletic activities and promote healthy living,David Lee,105,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
6,Robotics Club,roboticsclub@unist.ac.kr,5,A club for students interested in robotics and engineering,To encourage exploration of technology and engineering through hands-on projects and competitions,Michael Wang,106,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
7,Community Service Club,communityserviceclub@unist.ac.kr,6,A club for students interested in volunteering and community service,To make a positive impact in the local community and develop leadership and teamwork skills,Kate Davis,107,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
8,Dance Club,danceclub@unist.ac.kr,2,A club for students interested in dance,To explore different styles of dance and promote self-expression through movement,Sarah Kim,108,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
9,International Club,internationalclub@unist.ac.kr,7,A club for students interested in learning about different cultures,To celebrate diversity and promote cultural exchange through events and activities,Carlos Hernandez,109,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
10,Model United Nations Club,munclub@unist.ac.kr,3,A club for students interested in global issues and diplomacy,To foster debate cooperation and problem-solving skills through participation in Model UN conferences,Mia Rodriguez,110,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
11,Environmental Club,enviroclub@unist.ac.kr,8,A club for students interested in environmental issues and sustainability,To promote environmental awareness and encourage sustainable practices within the school community,Natalie Wong,111,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
12,Orchestra Club,orchestraclub@unist.ac.kr,3,A club for students interested in playing classical music,To develop technical proficiency and musical expression through ensemble playing,Adam Lee,112,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
13,Science Club,scienceclub@unist.ac.kr,5,A club for students interested in science,To foster curiosity and exploration in various fields of science through experiments and projects,Grace Kim,113,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
14,Theater Club,theaterclub@unist.ac.kr,4,A club for students interested in acting and theater production,To develop performance skills and stagecraft through various productions and events,Ethan Brown,114,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
15,Fashion Club,fashionclub@unist.ac.kr,2,A club for students interested in fashion design and styling,To promote creativity and exploration in the fashion industry and develop skills in design and sewing,Maggie Chen,115,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
16,Speech and Debate Club,speechdebateclub@unist.ac.kr,9,A club for students interested in public speaking and debate,To improve communication skills and develop an understanding of argumentation and persuasion,Oliver Davis,116,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
17,Computer Science Club,computerscienceclub@unist.ac.kr,5,A club for students interested in computer science,To explore the principles of computer programming and develop skills in building software applications and games,Steven Chang,117,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
18,History Club,historyclub@unist.ac.kr,9,A club for students interested in history,To foster an appreciation for history and develop critical thinking skills through the study of past events and civilizations,Isabella Martinez,118,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
19,Anime Club,animeclub@unist.ac.kr,7,A club for students interested in Japanese animation and culture,To explore and appreciate the art and culture of anime and manga,Kevin Nguyen,119,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
